Food,Calcium [mg],Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Total Fat [g],Iron [mg],Sodium [mg],Phosphorous  [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Vit A [RE],Vib B6 [RE],Vit C [mg],Food Type,
Skim Milk,302,86,8.3,11.9,0,0.4,0.1,126,247,0.9,0.22,0.09,149,0.1,2,DAIRY,
Snack cakes chocolate,21,105,1,17,0.1,4,1,105,26,0.2,0.7,0.06,4,0.01,0,BAKED GOODS,
Soybean,0,482,0,0,0,54,0,0,1,0.1,0,0,0,0,0,FATS AND OILS,
Spaghetti in sauce w/cheese,40,190,6,39,2.5,2,2.8,955,88,1.1,4.5,0.35,120,0.13,10,MIXED DISHES AND FAST FOODS,
Spaghetti cooked firm stage hot,14,190,6.5,39.1,1.4,0.6,2.1,1,85,0.6,1.82,0.23,0,0.1,0,GRAIN PRODUCTS,
Spinach raw chopped,55,12,1.6,2,2.3,0.2,1.5,44,27,0.3,0.41,0.04,376,0.11,16,VEGETABLES AND LEGUMES,
Strawberries thawed measure,28,245,1.4,66.1,5.5,0.3,1.5,8,33,0.1,1.2,0.04,6,0.08,106,FRUITS,
Tea Brewed,0,2,0,0.5,0,0,0,6.7,1,0,0.1,0,0,0,0,BEVERAGES,
Tomatoes raw whole,9,24,1.1,5.3,2.2,0.3,0.6,10,28,0.1,0.74,0.07,139,0.09,22,VEGETABLES AND LEGUMES,
Trix cereal,6,108,1.5,24.9,0.2,0.4,4.5,179,19,0.1,4.9,0.4,375,0.5,15,GRAIN PRODUCTS,
Trout broiled w/butter & lemon,26,175,21,0.3,0,9,1,122,259,0.2,2.3,0.07,60,0.41,1,FISH AND SHELLFISH,
Tuna oil packed,7,165,24,0,0,7,1.6,303,199,0.9,10.1,0.04,20,0.47,0,FISH AND SHELLFISH,
Turkey - Roasted whole slices,21,145,24.9,0,0,4.2,1.5,60,181,2.6,4.63,0.05,0,0.39,0,POULTRY,
Veal cutlet braised or broiled,9,185,23,0,0,9.4,0.8,56,196,3.5,4.6,0.06,0,0.27,0,MEAT,
Vegetable juice cocktail canned,27,46,1.5,11,1.5,0.2,1,883,41,0.5,1.76,0.1,283,0.34,67,VEGETABLES AND LEGUMES,
Water chestnuts canned sliced,3,35,0.6,8.7,0.6,0.1,0.6,6,14,0.3,0.25,0.01,0,,0.9,VEGETABLES AND LEGUMES,
Wheat bread sliced,32,65,2.4,11.8,1.4,1,0.9,135,47,0.3,1.13,0.12,0,0.03,0,BAKED GOODS,
Wheat cracker thin,3,35,1,5,0.4,1.4,0.3,69,15,0.2,0.4,0.04,0,0.01,0,BAKED GOODS,
White bread sliced,32,65,2.1,12.2,0.7,1,0.7,129,27,0.1,0.94,0.12,0,0.01,0,BAKED GOODS,
White rice raw dry,44,670,12.4,149,2.6,0.7,5.4,9,174,2.4,6.48,0.81,0,0.3,0,GRAIN PRODUCTS,
Yellow cake,23,245,2.5,38.6,0.3,10.9,1.2,192,117,0.2,0.62,0.05,30,0.03,0,BAKED GOODS,
Yogurt lowfat fruit added,345,231,9.9,43,0.3,2.5,0.2,133,271,1.7,0.22,0.08,25,0.09,2,DAIRY,
Yogurt whole milk,275,138,7.9,10.6,0,7.4,0.1,104,216,1.3,0.17,0.07,68,0.07,1,DAIRY,
